01:42.465  render           | Fra: 51 | Rendering 50 / 64 samples
01:42.914  render           | Fra: 51 | Rendering 64 / 64 samples
01:43.208  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0051.png'
01:43.209  render           | Time: 00:02.71 (Saving: 00:00.22)
01:43.209  render           | Rendering frame 52
01:43.245  render           | Start rendering: Scene, ViewLayer
01:43.245  render           | Engine: EEVEE
01:43.749  render           | Fra: 52 | Rendering 1 / 64 samples
01:44.516  render           | Fra: 52 | Rendering 25 / 64 samples
01:45.299  render           | Fra: 52 | Rendering 50 / 64 samples
01:45.737  render           | Fra: 52 | Rendering 64 / 64 samples
01:46.099  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0052.png'
01:46.101  render           | Time: 00:02.85 (Saving: 00:00.27)
01:46.103  render           | Rendering frame 53
01:46.129  render           | Start rendering: Scene, ViewLayer
01:46.129  render           | Engine: EEVEE
01:46.536  render           | Fra: 53 | Rendering 1 / 64 samples
01:47.269  render           | Fra: 53 | Rendering 25 / 64 samples
01:48.053  render           | Fra: 53 | Rendering 50 / 64 samples
